Distance,Displacement,
0,0
1010.10101010101,-0.1227475340884102
2020.20202020202,-0.475462986486562
3030.30303030303,-1.03511757029175
4040.40404040404,-1.779228043714498
5050.50505050505,-2.686061040589429
6060.60606060606,-3.734794934332919
7070.707070707071,-4.905643781688794
8080.80808080808,-6.179947690515684
9090.90909090909,-7.54023372610405
10101.0101010101,-8.97025122061766
11111.11111111111,-10.45498508686012
12121.21212121212,-11.98065046643045
13131.31313131313,-13.53467176840172
14141.41414141414,-15.10564888213473
15151.51515151515,-16.6833130802382
16161.61616161616,-18.25847486789576
17171.71717171717,-19.82296578512157
18181.81818181818,-21.36957593079304
19191.91919191919,-22.89198875290613
20202.0202020202,-24.38471443936884
21212.12121212121,-25.8430230484101
22222.22222222222,-27.26287833764985
23232.32323232323,-28.64087308611121
24242.42424242424,-29.97416655380092
25252.52525252525,-31.26042458860306
26262.62626262626,-32.49776276964162
27272.72727272727,-33.68469286937378
28282.82828282828,-34.82007282279005
29292.92929292929,-35.90306031047358
30303.0303030303,-36.93306999211372
31313.13131313131,-37.90973436756182
32323.23232323232,-38.83286819283672
33333.33333333333,-39.70243633780728
34343.43434343434,-40.51852493979927
35353.53535353535,-41.28131568230876
36363.63636363636,-41.99106300960913
37373.73737373737,-42.64807407560013
38383.83838383838,-43.25269121809966
39393.93939393939,-43.80527674729669
40404.0404040404,-44.30619983869075
41414.14141414141,-44.75582532601162
42424.24242424242,-45.15450419785545
43434.34343434343,-45.50256561265813
44444.44444444445,-45.80031025975686
45454.54545454545,-46.04800490931601
46464.64646464646,-46.24587801050008
47474.74747474747,-46.39411621518669
48484.84848484848,-46.49286172348044
49494.94949494949,-46.54221036709244
50505.0505050505,-46.54221036709804
51515.15151515151,-46.49286172349714
52525.25252525252,-46.39411621521408
53535.35353535353,-46.2458780105377
54545.45454545454,-46.04800490936344
55555.55555555555,-45.80031025981363
56565.65656565657,-45.50256561272377
57575.75757575758,-45.15450419792953
58585.85858585858,-44.75582532609366
59595.95959595959,-44.3061998387801
60606.0606060606,-43.80527674739245
61616.16161616161,-43.25269121820085
62626.26262626262,-42.64807407570572
63636.36363636363,-41.99106300971816
64646.46464646464,-41.28131568242019
65656.56565656565,-40.51852493991194
66666.66666666666,-39.70243633791994
67676.76767676767,-38.8328681929482
68686.86868686868,-37.90973436767119
69696.9696969697,-36.93306999222036
70707.0707070707,-35.90306031057713
71717.17171717172,-34.82007282289027
72727.27272727272,-33.68469286947053
73737.37373737374,-32.49776276973478
74747.47474747474,-31.26042458869254
75757.57575757576,-29.97416655388661
76767.67676767676,-28.64087308619287
77777.77777777777,-27.26287833772726
78787.87878787878,-25.84302304848311
79797.97979797979,-24.38471443943745
80808.08080808081,-22.89198875297043
81818.18181818181,-21.36957593085312
82828.28282828283,-19.82296578517747
83838.38383838383,-18.25847486794754
84848.48484848485,-16.68331308028591
85858.58585858585,-15.10564888217842
86868.68686868687,-13.53467176844137
87878.78787878787,-11.98065046646608
88888.88888888889,-10.4549850868917
89898.98989898989,-8.970251220645165
90909.0909090909,-7.540233726127505
91919.19191919192,-6.17994769053518
92929.29292929292,-4.905643781704481
93939.39393939394,-3.734794934345006
94949.49494949494,-2.68606104059821
95959.59595959596,-1.779228043720364
96969.69696969696,-1.035117570295188
97979.79797979798,-0.4754629864881517
98989.89898989898,-0.122747534088823
100000,0
