time,flux
0.01,41267.9
0.02,37180.5
0.03,34366.7
0.04,32236.1
0.05,30666.7
0.060000000000000005,29655.7
0.06999999999999999,29035.4
0.08,28624.3
0.09,28795.0
0.09999999999999999,29521.8
0.11,30455.2
0.12,31918.7
0.13,33450.9
0.14,35397.6
0.15000000000000002,38022.7
0.16,40528.6
0.17,43664.0
0.18000000000000002,47211.8
0.19,51548.2
0.2,55500.9
0.21000000000000002,59995.8
0.22,65164.3
0.23,70547.6
0.24000000000000002,76413.9
0.25,82543.2
0.26,89052.8
0.27,95542.5
0.28,102552.0
0.29000000000000004,109501.0
0.3,117192.0
0.31,125170.0
0.32,133473.0
0.33,142282.0
0.34,151498.0
0.35000000000000003,160903.0
0.36000000000000004,169789.0
0.37,180140.0
0.38,189734.0
0.39,200895.0
0.4,211100.0
0.41000000000000003,221970.0
0.42000000000000004,233081.0
0.43,245349.0
0.44,256228.0
0.45,269413.0
0.46,281549.0
0.47000000000000003,293619.0
0.48000000000000004,306455.0
0.49,319179.0
0.5,332899.0
0.51,345322.0
0.52,358668.0
0.53,371075.0
0.54,385958.0
0.55,399847.0
0.56,413348.0
0.5700000000000001,426731.0
0.5800000000000001,441204.0
0.59,455451.0
0.6,469436.0
0.61,484122.0
0.62,497788.0
0.63,511652.0
0.64,526277.0
0.65,540218.0
0.66,554588.0
0.67,568520.0
0.68,582861.0
0.6900000000000001,597206.0
0.7000000000000001,611742.0
0.7100000000000001,626287.0
0.72,640227.0
0.73,654503.0
0.74,668984.0
0.75,684250.0
0.76,697999.0
0.77,712509.0
0.78,726938.0
0.79,741232.0
0.8,755726.0
0.81,769929.0
0.8200000000000001,783998.0
0.8300000000000001,798300.0
0.8400000000000001,812355.0
0.85,826077.0
0.86,840333.0
0.87,854357.0
0.88,868502.0
0.89,881817.0
0.9,895381.0
0.91,908942.0
0.92,922055.0
0.93,935022.0
0.9400000000000001,947804.0
0.9500000000000001,960538.0
0.9600000000000001,973033.0
0.97,985075.0
0.98,996799.0
0.99,1008450.0
1.0,1019800.0
1.01,1030490.0
1.02,1040910.0
1.03,1051160.0
1.04,1060830.0
1.05,1070120.0
1.06,1079000.0
1.07,1087530.0
1.08,1095580.0
1.09,1103230.0
1.1,1110370.0
1.11,1117110.0
1.12,1123420.0
1.1300000000000001,1129220.0
1.1400000000000001,1134540.0
1.1500000000000001,1139420.0
1.1600000000000001,1143760.0
1.17,1147670.0
1.18,1151050.0
1.19,1153990.0
1.2,1156510.0
1.21,1158570.0
1.22,1160180.0
1.23,1161360.0
1.24,1162080.0
1.25,1162400.0
1.26,1162310.0
1.27,1161850.0
1.28,1161020.0
1.29,1159870.0
1.3,1158380.0
1.31,1156580.0
1.32,1154500.0
1.33,1152110.0
1.34,1149500.0
1.35,1146640.0
1.36,1143600.0
1.37,1140340.0
1.3800000000000001,1136940.0
1.3900000000000001,1133370.0
1.4000000000000001,1129670.0
1.4100000000000001,1125890.0
1.42,1122020.0
1.43,1118070.0
1.44,1114080.0
1.45,1110070.0
1.46,1106040.0
1.47,1102010.0
1.48,1097990.0
1.49,1094000.0
1.5,1090060.0
1.51,1086170.0
1.52,1082360.0
1.53,1078610.0
1.54,1074950.0
1.55,1071380.0
1.56,1067900.0
1.57,1064530.0
1.58,1061260.0
1.59,1058100.0
1.6,1055060.0
1.61,1052150.0
1.62,1049330.0
1.6300000000000001,1046640.0
1.6400000000000001,1044040.0
1.6500000000000001,1041580.0
1.6600000000000001,1039210.0
1.6700000000000002,1036960.0
1.68,1034820.0
1.69,1032790.0
1.7,1030840.0
1.71,1029000.0
1.72,1027270.0
1.73,1025640.0
1.74,1024090.0
1.75,1022620.0
1.76,1021240.0
1.77,1019950.0
1.78,1018720.0
1.79,1017580.0
1.8,1016490.0
1.81,1015470.0
1.82,1014530.0
1.83,1013650.0
1.84,1012830.0
1.85,1012050.0
1.86,1011360.0
1.87,1010680.0
1.8800000000000001,1010090.0
1.8900000000000001,1009500.0
1.9000000000000001,1008940.0
1.9100000000000001,1008440.0
1.9200000000000002,1007970.0
1.93,1007530.0
1.94,1007120.0
1.95,1006730.0
1.96,1006360.0
1.97,1006020.0
1.98,1005700.0
1.99,1005390.0
2.0,1005140.0
2.01,1004890.0
2.02,1004660.0
2.03,983095.0
2.04,1004210.0
2.05,1004030.0
2.0599999999999996,1003850.0
2.07,1003670.0
2.0799999999999996,1003510.0
2.09,1003360.0
2.0999999999999996,1003210.0
2.11,1003070.0
2.1199999999999997,1002970.0
2.13,1002890.0
2.1399999999999997,1002780.0
2.15,1002690.0
2.1599999999999997,1002600.0
2.17,1002500.0
2.1799999999999997,1002430.0
2.19,1002410.0
2.1999999999999997,1002340.0
2.21,1002280.0
2.2199999999999998,1002220.0
2.23,1002180.0
2.2399999999999998,1002140.0
2.25,1002110.0
2.26,1002080.0
2.27,1002060.0
2.28,1002030.0
2.29,1002000.0
2.3,1001980.0
2.31,1001970.0
2.32,1001960.0
2.3299999999999996,1001960.0
2.34,1001930.0
2.3499999999999996,1001920.0
2.36,1001900.0
2.3699999999999997,1001880.0
2.38,1001870.0
2.3899999999999997,1001850.0
2.4,1001840.0
2.4099999999999997,1001810.0
2.42,1001800.0
2.4299999999999997,1001800.0
2.44,1001770.0
2.4499999999999997,1001760.0
2.46,1001730.0
2.4699999999999998,1001710.0
2.48,1001690.0
2.4899999999999998,1001680.0
2.5,1001660.0
2.51,1001640.0
2.52,1001610.0
2.53,1001600.0
2.54,1001560.0
2.55,1001520.0
2.56,1001510.0
2.57,1001470.0
2.5799999999999996,1001450.0
2.59,1001440.0
2.5999999999999996,1001410.0
2.61,1001370.0
2.6199999999999997,1001350.0
2.63,1001370.0
2.6399999999999997,1001350.0
2.65,1001330.0
2.6599999999999997,1001300.0
2.67,1001290.0
2.6799999999999997,1001290.0
2.69,1001290.0
2.6999999999999997,1001300.0
2.71,1001310.0
2.7199999999999998,1001300.0
2.73,1001290.0
2.7399999999999998,1001280.0
2.75,1001280.0
2.76,1001270.0
2.77,1001250.0
2.78,1001220.0
2.79,1001190.0
2.8,1001180.0
2.81,1001150.0
2.82,1001150.0
2.8299999999999996,1001140.0
2.84,1001130.0
2.8499999999999996,1001110.0
2.86,1001100.0
2.8699999999999997,1001080.0
2.88,1001060.0
2.8899999999999997,1001030.0
2.9,1001020.0
2.9099999999999997,1001000.0
2.92,1000960.0
2.9299999999999997,1000950.0
2.94,1000930.0
2.9499999999999997,1000890.0
2.96,1000880.0
2.9699999999999998,1000860.0
2.98,1000850.0
2.9899999999999998,1000830.0
3.0,1000800.0
3.01,1000790.0
3.02,1000790.0
3.03,1000800.0
3.04,1000780.0
3.05,1000770.0
3.06,1000770.0
3.07,1000740.0
3.08,1000720.0
3.09,1000710.0
3.0999999999999996,1000690.0
3.11,1000670.0
3.1199999999999997,1000650.0
3.13,1000630.0
3.1399999999999997,1000600.0
3.15,1000570.0
3.1599999999999997,1000550.0
3.17,1000530.0
3.1799999999999997,1000530.0
3.19,1000510.0
3.1999999999999997,1000500.0
3.21,1000490.0
3.2199999999999998,1000460.0
3.23,1000440.0
3.2399999999999998,1000430.0
3.25,1000410.0
3.26,1000390.0
3.27,1000370.0
3.28,1000350.0
3.29,1000330.0
3.3,1000320.0
3.31,1000310.0
3.32,1000280.0
3.33,1000290.0
3.34,1000260.0
3.3499999999999996,1000260.0
3.36,1000260.0
3.3699999999999997,1000240.0
3.38,1000240.0
3.3899999999999997,1000210.0
3.4,1000190.0
3.4099999999999997,1000190.0
3.42,1000170.0
3.4299999999999997,1000160.0
3.44,1000150.0
3.4499999999999997,1000150.0
3.46,1000160.0
3.4699999999999998,1000150.0
3.48,1000140.0
3.4899999999999998,1000120.0
3.5,1000110.0
3.51,1000090.0
3.52,1000110.0
3.53,1000090.0
3.54,1000090.0
3.55,1000080.0
3.56,1000080.0
3.57,1000080.0
3.58,1000080.0
3.59,1000070.0
3.5999999999999996,1000080.0
3.61,1000060.0
3.6199999999999997,1000050.0
3.63,1000040.0
3.6399999999999997,1000040.0
3.65,1000020.0
3.6599999999999997,1000030.0
3.67,1000020.0
3.6799999999999997,1000000.0
3.69,999996.0
3.6999999999999997,999983.0
3.71,999984.0
3.7199999999999998,999979.0
3.73,999965.0
3.7399999999999998,999953.0
3.75,999942.0
3.76,999936.0
3.77,999919.0
3.78,999905.0
3.79,999896.0
3.8,999882.0
3.81,999869.0
3.82,999882.0
3.83,999882.0
3.84,999860.0
3.8499999999999996,999850.0
3.86,999846.0
3.8699999999999997,999827.0
3.88,999826.0
3.8899999999999997,999809.0
3.9,999784.0
3.9099999999999997,999792.0
3.92,999783.0
3.9299999999999997,999766.0
3.94,999765.0
3.9499999999999997,999760.0
3.96,999757.0
3.9699999999999998,999743.0
3.98,999725.0
3.9899999999999998,999725.0
4.0,999711.0
4.01,999709.0
4.02,999701.0
4.03,999700.0
4.04,999692.0
4.05,999680.0
4.06,999688.0
4.07,999687.0
4.08,999688.0
4.09,999664.0
4.1,999672.0
4.109999999999999,999668.0
4.12,999667.0
4.13,999664.0
4.14,999662.0
4.1499999999999995,999666.0
4.16,999663.0
4.17,999664.0
